Date,is_bullish,is_bearish,weighted_sentiment,weight,total_vol,avg_sentiment,bull_ratio,bear_ratio,sentiment_spread,sentiment_momentum
2021-04-18,1050,652,546.8246,4707.0,4707,0.11617263649883153,0.22307202039515614,0.1385171021882303,0.08455491820692584,-0.12775277410076646
2021-04-19,830,423,522.6628,4111.0,4111,0.12713763074677692,0.20189734857698857,0.10289467282899538,0.0990026757479932,0.01444775754106735
2021-04-20,820,368,601.2048,4370.0,4370,0.13757546910755147,0.18764302059496568,0.08421052631578947,0.10343249427917621,0.004429818531183016
2021-04-21,773,299,471.7779,4426.0,4426,0.10659238590149119,0.1746497966561229,0.0675553547220967,0.1070944419340262,0.0036619476548499924
2021-04-22,920,482,561.5683,5017.0,5017,0.11193308750249154,0.18337651983256925,0.09607335060793303,0.08730316922463623,-0.019791272709389976
2021-04-23,1303,602,628.1709,5790.0,5790,0.10849238341968911,0.22504317789291883,0.10397236614853195,0.12107081174438689,0.03376764251975066
2021-04-24,758,312,529.8747,3921.0,3921,0.13513764345830145,0.1933180311145116,0.07957153787299158,0.11374649324152002,-0.0073243185028668695
2021-05-25,576,287,444.3978,2799.0,2799,0.15877020364415864,0.2057877813504823,0.10253662022150768,0.10325116112897463,-0.010495332112545386
2021-05-26,937,463,587.7867,4879.0,4879,0.12047278130764501,0.19204755072760812,0.09489649518343923,0.09715105554416889,-0.00610010558480574
2021-05-27,783,421,656.5988,4369.0,4369,0.15028583199816892,0.17921721217669948,0.09636072327763791,0.08285648889906157,-0.014294566645107323
2021-05-28,1038,575,712.9789,5167.0,5167,0.13798701374104896,0.20089026514418423,0.11128314302303077,0.08960712212115346,0.006750633222091892
2021-05-29,776,479,489.4567,4496.0,4496,0.1088649243772242,0.17259786476868327,0.1065391459074733,0.06605871886120997,-0.023548403259943493
2021-06-20,1390,956,2074.7250999999997,8780.0,8780,0.236301264236902,0.15831435079726652,0.10888382687927108,0.04943052391799545,-0.01662819494321452
2021-06-21,7203,5620,8011.4144,41164.0,41164,0.19462186376445437,0.17498299484986882,0.1365270624817802,0.03845593236808861,-0.010974591549906834
2021-06-22,9389,6199,7424.7038999999995,45504.0,45504,0.1631659612341772,0.20633350914205345,0.13622978199718705,0.0701037271448664,0.03164779477677779
2021-06-23,6448,2959,5182.6082,29129.0,29129,0.1779191939304473,0.22136015654502386,0.10158261526313983,0.11977754128188403,0.04967381413701763
2021-07-02,2775,1525,3894.1433,17531.0,17531,0.2221289886486795,0.15829102732302777,0.08698876276310535,0.07130226455992242,-0.04847527672196161
2021-07-03,4394,1984,6943.8177,24841.0,24841,0.2795305221206876,0.1768849885270319,0.079867960227044,0.09701702829998791,0.025714763740065497
2021-07-04,3783,1637,5978.2549,22850.0,22850,0.2616304113785558,0.16555798687089715,0.07164113785557986,0.09391684901531729,-0.003100179284670629
2021-07-05,4276,2115,6546.8501,25678.0,25678,0.2549595022976867,0.16652387257574577,0.08236622789936911,0.08415764467637667,-0.009759204338940619
2021-07-16,30,24,135.9556,1109.0,1109,0.12259296663660957,0.027051397655545536,0.02164111812443643,0.005410279531109105,-0.07874736514526756
2021-07-17,2443,1314,3666.574,14991.0,14991,0.24458501767727303,0.16296444533386698,0.08765259155493296,0.07531185377893401,0.06990157424782491
2021-07-18,4462,1823,8240.6858,25603.0,25603,0.32186407061672456,0.1742764519782838,0.07120259344608054,0.10307385853220324,0.02776200475326923
2021-07-19,4690,2625,7265.7066,28383.0,28383,0.25598797167318466,0.1652397561920868,0.09248493816721277,0.07275481802487403,-0.030319040507329212
2021-07-20,5421,3554,5826.2089,30669.0,30669,0.1899706185398937,0.1767582901300988,0.11588248720206071,0.0608758029280381,-0.011879015096835935
2021-07-21,6330,3064,8953.9588,38395.0,38395,0.23320637583018622,0.16486521682510744,0.07980205755957807,0.08506315926552936,0.024187356337491264
2021-07-22,4743,2066,8328.4975,30226.0,30226,0.2755408423211804,0.15691788526434194,0.06835175014887845,0.08856613511546349,0.0035029758499341285
2021-07-23,5992,2874,11432.426,43015.0,43015,0.26577765895617805,0.13930024410089503,0.06681390212716494,0.07248634197373009,-0.016079793141733398
2021-07-24,6301,2583,8445.1325,31785.0,31785,0.265695532483876,0.19823816265534058,0.08126474752241623,0.11697341513292435,0.04448707315919426
2021-07-25,2621,1054,2853.2928,11531.0,11531,0.24744539068597696,0.2273003208741653,0.09140577573497528,0.13589454513919003,0.018921130006265677
2021-07-26,10734,2341,4146.7579,27226.0,27226,0.1523087453169764,0.394255491074708,0.08598398589583486,0.30827150517887314,0.1723769600396831
2021-07-27,3026,1426,3501.5146,13744.0,13744,0.2547667782305006,0.2201688009313155,0.10375436554132712,0.11641443538998837,-0.19185706978888478
2021-07-28,3392,1478,3653.1089,15309.0,15309,0.23862491998171012,0.22156901169246848,0.09654451629760272,0.12502449539486576,0.008610060004877393
